INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,EDITOVATELNÁ ČÁST,,,,
id,,místo odjezdu / příjezdu,směr,termín,lokalita ,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita
#14423,SPOLEČNÁ DOPRAVA,Ostrava,Do tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14424,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14425,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14426,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14427,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14428,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14429,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14430,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14431,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14432,SPOLEČNÁ DOPRAVA,Ostrava,Z tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,335,335,335,0,100
#14433,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,670,670,670,0,100
#14434,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,670,670,670,0,100
#14435,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,97,,670,670,670,0,100
#14436,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,670,670,670,0,100
#14437,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,98,,670,670,670,0,100
#14438,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,98,,670,670,670,0,100
#14439,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,670,670,670,0,100
#14440,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,670,670,670,0,100
#14441,SPOLEČNÁ DOPRAVA,Ostrava,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,670,670,670,0,100
#14442,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14443,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
